Economy_Label,2002_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_Footnote,2002_US_at_current_prices_MissingValue,2003_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_Footnote,2003_US_at_current_prices_MissingValue,2004_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_Footnote,2004_US_at_current_prices_MissingValue,2005_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_Footnote,2005_US_at_current_prices_MissingValue,2006_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_Footnote,2006_US_at_current_prices_MissingValue,2007_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_Footnote,2007_US_at_current_prices_MissingValue,2008_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_Footnote,2008_US_at_current_prices_MissingValue,2009_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_Footnote,2009_US_at_current_prices_MissingValue,2010_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_Footnote,2010_US_at_current_prices_MissingValue,2011_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_Footnote,2011_US_at_current_prices_MissingValue,2012_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_Footnote,2012_US_at_current_prices_MissingValue,2013_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_Footnote,2013_US_at_current_prices_MissingValue,2014_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_Footnote,2014_US_at_current_prices_MissingValue,2015_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_Footnote,2015_US_at_current_prices_MissingValue,2016_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_Footnote,2016_US_at_current_prices_MissingValue,2017_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_Footnote,2017_US_at_current_prices_MissingValue,2018_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_Footnote,2018_US_at_current_prices_MissingValue,2019_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_Footnote,2019_US_at_current_prices_MissingValue,2020_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_Footnote,2020_US_at_current_prices_MissingValue,2021_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_Footnote,2021_US_at_current_prices_MissingValue,2022_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_Footnote,2022_US_at_current_prices_MissingValue,2023_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_Footnote,2023_US_at_current_prices_MissingValue,2024_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_Footnote,2024_US_at_current_prices_MissingValue
"Austria",2,"Including Channel Islands and Isle of Man",,3,"Including Channel Islands and Isle of Man",,3,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,342,"Including Channel Islands and Isle of Man",,345,"Including Channel Islands and Isle of Man",,278,"Including Channel Islands and Isle of Man",,327,"Including Channel Islands and Isle of Man",,335,"Including Channel Islands and Isle of Man",,219,"Including Channel Islands and Isle of Man",,249,"Including Channel Islands and Isle of Man",,203,"Including Channel Islands and Isle of Man",,183,"Including Channel Islands and Isle of Man",,83,"Including Channel Islands and Isle of Man",,40,"Including Channel Islands and Isle of Man",,75,"Including Channel Islands and Isle of Man",,71,"Including Channel Islands and Isle of Man",,48,"Including Channel Islands and Isle of Man",,37,"Including Channel Islands and Isle of Man",,34,"Including Channel Islands and Isle of Man",,12,"Including Channel Islands and Isle of Man",,22,"Including Channel Islands and Isle of Man",
"Belgium",11,"Including Channel Islands and Isle of Man",,15,"Including Channel Islands and Isle of Man",,14,"Including Channel Islands and Isle of Man",,9,"Including Channel Islands and Isle of Man",,7,"Including Channel Islands and Isle of Man",,56,"Including Channel Islands and Isle of Man",,46,"Including Channel Islands and Isle of Man",,25,"Including Channel Islands and Isle of Man",,16,"Including Channel Islands and Isle of Man",,14,"Including Channel Islands and Isle of Man",,7,"Including Channel Islands and Isle of Man",,8,"Including Channel Islands and Isle of Man",,17,"Including Channel Islands and Isle of Man",,23,"Including Channel Islands and Isle of Man",,24,"Including Channel Islands and Isle of Man",,23,"Including Channel Islands and Isle of Man",,21,"Including Channel Islands and Isle of Man",,25,"Including Channel Islands and Isle of Man",,13,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,7,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,7,"Including Channel Islands and Isle of Man",
"Bulgaria",,,,,,,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,,,,2,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,3,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,3,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,3,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,,,,,,,2,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",
"China",8,"Including Channel Islands and Isle of Man",,16,"Including Channel Islands and Isle of Man",,25,"Including Channel Islands and Isle of Man",,51,"Including Channel Islands and Isle of Man",,75,"Including Channel Islands and Isle of Man",,274,"Including Channel Islands and Isle of Man",,325,"Including Channel Islands and Isle of Man",,278,"Including Channel Islands and Isle of Man",,255,"Including Channel Islands and Isle of Man",,204,"Including Channel Islands and Isle of Man",,383,"Including Channel Islands and Isle of Man",,519,"Including Channel Islands and Isle of Man",,586,"Including Channel Islands and Isle of Man",,783,"Including Channel Islands and Isle of Man",,711,"Including Channel Islands and Isle of Man",,731,"Including Channel Islands and Isle of Man",,679,"Including Channel Islands and Isle of Man",,740,"Including Channel Islands and Isle of Man",,999,"Including Channel Islands and Isle of Man",,1367,"Including Channel Islands and Isle of Man",,1543,"Including Channel Islands and Isle of Man",,1326,"Including Channel Islands and Isle of Man",,805,"Including Channel Islands and Isle of Man",
"China, Hong Kong SAR",11,"Including Channel Islands and Isle of Man",,23,"Including Channel Islands and Isle of Man",,36,"Including Channel Islands and Isle of Man",,25,"Including Channel Islands and Isle of Man",,20,"Including Channel Islands and Isle of Man",,41,"Including Channel Islands and Isle of Man",,40,"Including Channel Islands and Isle of Man",,35,"Including Channel Islands and Isle of Man",,26,"Including Channel Islands and Isle of Man",,29,"Including Channel Islands and Isle of Man",,82,"Including Channel Islands and Isle of Man",,54,"Including Channel Islands and Isle of Man",,70,"Including Channel Islands and Isle of Man",,60,"Including Channel Islands and Isle of Man",,41,"Including Channel Islands and Isle of Man",,55,"Including Channel Islands and Isle of Man",,68,"Including Channel Islands and Isle of Man",,46,"Including Channel Islands and Isle of Man",,61,"Including Channel Islands and Isle of Man",,75,"Including Channel Islands and Isle of Man",,155,"Including Channel Islands and Isle of Man",,92,"Including Channel Islands and Isle of Man",,67,"Including Channel Islands and Isle of Man",
"China, Macao SAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Including Channel Islands and Isle of Man",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Croatia",,,,0,"Including Channel Islands and Isle of Man",,,,,,,,,,,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,9,"Including Channel Islands and Isle of Man",,5,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,8,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,8,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,3,"Including Channel Islands and Isle of Man",
"Cyprus",0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,,,,,,,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",
"Czechia",0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,62,"Including Channel Islands and Isle of Man",,215,"Including Channel Islands and Isle of Man",,180,"Including Channel Islands and Isle of Man",,133,"Including Channel Islands and Isle of Man",,140,"Including Channel Islands and Isle of Man",,148,"Including Channel Islands and Isle of Man",,132,"Including Channel Islands and Isle of Man",,134,"Including Channel Islands and Isle of Man",,162,"Including Channel Islands and Isle of Man",,170,"Including Channel Islands and Isle of Man",,290,"Including Channel Islands and Isle of Man",,177,"Including Channel Islands and Isle of Man",,126,"Including Channel Islands and Isle of Man",,132,"Including Channel Islands and Isle of Man",,114,"Including Channel Islands and Isle of Man",,101,"Including Channel Islands and Isle of Man",,134,"Including Channel Islands and Isle of Man",,132,"Including Channel Islands and Isle of Man",
"Denmark",2,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,7,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,23,"Including Channel Islands and Isle of Man",,30,"Including Channel Islands and Isle of Man",,38,"Including Channel Islands and Isle of Man",,24,"Including Channel Islands and Isle of Man",,34,"Including Channel Islands and Isle of Man",,28,"Including Channel Islands and Isle of Man",,20,"Including Channel Islands and Isle of Man",,20,"Including Channel Islands and Isle of Man",,22,"Including Channel Islands and Isle of Man",,24,"Including Channel Islands and Isle of Man",,8,"Including Channel Islands and Isle of Man",,18,"Including Channel Islands and Isle of Man",,13,"Including Channel Islands and Isle of Man",,26,"Including Channel Islands and Isle of Man",,11,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,13,"Including Channel Islands and Isle of Man",,12,"Including Channel Islands and Isle of Man",
"Estonia",,,,,,,0,"Including Channel Islands and Isle of Man",,,,,,,,3,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",
"Finland",0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,3,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,3,"Including Channel Islands and Isle of Man",,5,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",
