Economy_Label,2002_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_Footnote,2002_US_at_current_prices_MissingValue,2003_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_Footnote,2003_US_at_current_prices_MissingValue,2004_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_Footnote,2004_US_at_current_prices_MissingValue,2005_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_Footnote,2005_US_at_current_prices_MissingValue,2006_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_Footnote,2006_US_at_current_prices_MissingValue,2007_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_Footnote,2007_US_at_current_prices_MissingValue,2008_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_Footnote,2008_US_at_current_prices_MissingValue,2009_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_Footnote,2009_US_at_current_prices_MissingValue,2010_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_Footnote,2010_US_at_current_prices_MissingValue,2011_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_Footnote,2011_US_at_current_prices_MissingValue,2012_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_Footnote,2012_US_at_current_prices_MissingValue,2013_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_Footnote,2013_US_at_current_prices_MissingValue,2014_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_Footnote,2014_US_at_current_prices_MissingValue,2015_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_Footnote,2015_US_at_current_prices_MissingValue,2016_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_Footnote,2016_US_at_current_prices_MissingValue,2017_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_Footnote,2017_US_at_current_prices_MissingValue,2018_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_Footnote,2018_US_at_current_prices_MissingValue,2019_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_Footnote,2019_US_at_current_prices_MissingValue,2020_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_Footnote,2020_US_at_current_prices_MissingValue,2021_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_Footnote,2021_US_at_current_prices_MissingValue,2022_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_Footnote,2022_US_at_current_prices_MissingValue,2023_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_Footnote,2023_US_at_current_prices_MissingValue,2024_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_Footnote,2024_US_at_current_prices_MissingValue
"Austria",4,"Including Puerto Rico and United States Virgin Islands",,6,"Including Puerto Rico and United States Virgin Islands",,4,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,11,"Including Puerto Rico and United States Virgin Islands",,10,"Including Puerto Rico and United States Virgin Islands",,7,"Including Puerto Rico and United States Virgin Islands",,11,"Including Puerto Rico and United States Virgin Islands",,10,"Including Puerto Rico and United States Virgin Islands",,10,"Including Puerto Rico and United States Virgin Islands",,14,"Including Puerto Rico and United States Virgin Islands",,11,"Including Puerto Rico and United States Virgin Islands",,10,"Including Puerto Rico and United States Virgin Islands",,11,"Including Puerto Rico and United States Virgin Islands",,11,"Including Puerto Rico and United States Virgin Islands",,13,"Including Puerto Rico and United States Virgin Islands",,18,"Including Puerto Rico and United States Virgin Islands",,17,"Including Puerto Rico and United States Virgin Islands",,25,"Including Puerto Rico and United States Virgin Islands",,41,"Including Puerto Rico and United States Virgin Islands",,51,"Including Puerto Rico and United States Virgin Islands",,43,"Including Puerto Rico and United States Virgin Islands",
"Belgium",11,"Including Puerto Rico and United States Virgin Islands",,7,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,5,"Including Puerto Rico and United States Virgin Islands",,7,"Including Puerto Rico and United States Virgin Islands",,12,"Including Puerto Rico and United States Virgin Islands",,4,"Including Puerto Rico and United States Virgin Islands",,6,"Including Puerto Rico and United States Virgin Islands",,4,"Including Puerto Rico and United States Virgin Islands",,4,"Including Puerto Rico and United States Virgin Islands",,3,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,11,"Including Puerto Rico and United States Virgin Islands",,7,"Including Puerto Rico and United States Virgin Islands",,10,"Including Puerto Rico and United States Virgin Islands",,7,"Including Puerto Rico and United States Virgin Islands",,6,"Including Puerto Rico and United States Virgin Islands",,6,"Including Puerto Rico and United States Virgin Islands",,8,"Including Puerto Rico and United States Virgin Islands",,3,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,4,"Including Puerto Rico and United States Virgin Islands",,11,"Including Puerto Rico and United States Virgin Islands",
"Bulgaria",0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,6,"Including Puerto Rico and United States Virgin Islands",,10,"Including Puerto Rico and United States Virgin Islands",,8,"Including Puerto Rico and United States Virgin Islands",,5,"Including Puerto Rico and United States Virgin Islands",,9,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",
"China",52,"Including Puerto Rico and United States Virgin Islands",,96,"Including Puerto Rico and United States Virgin Islands",,559,"Including Puerto Rico and United States Virgin Islands",,733,"Including Puerto Rico and United States Virgin Islands",,653,"Including Puerto Rico and United States Virgin Islands",,1558,"Including Puerto Rico and United States Virgin Islands",,1690,"Including Puerto Rico and United States Virgin Islands",,1456,"Including Puerto Rico and United States Virgin Islands",,1208,"Including Puerto Rico and United States Virgin Islands",,992,"Including Puerto Rico and United States Virgin Islands",,3588,"Including Puerto Rico and United States Virgin Islands",,3691,"Including Puerto Rico and United States Virgin Islands",,3407,"Including Puerto Rico and United States Virgin Islands",,4515,"Including Puerto Rico and United States Virgin Islands",,3810,"Including Puerto Rico and United States Virgin Islands",,5115,"Including Puerto Rico and United States Virgin Islands",,5276,"Including Puerto Rico and United States Virgin Islands",,3702,"Including Puerto Rico and United States Virgin Islands",,4177,"Including Puerto Rico and United States Virgin Islands",,6567,"Including Puerto Rico and United States Virgin Islands",,8317,"Including Puerto Rico and United States Virgin Islands",,7791,"Including Puerto Rico and United States Virgin Islands",,4399,"Including Puerto Rico and United States Virgin Islands",
"China, Hong Kong SAR",49,"Including Puerto Rico and United States Virgin Islands",,48,"Including Puerto Rico and United States Virgin Islands",,60,"Including Puerto Rico and United States Virgin Islands",,61,"Including Puerto Rico and United States Virgin Islands",,75,"Including Puerto Rico and United States Virgin Islands",,521,"Including Puerto Rico and United States Virgin Islands",,366,"Including Puerto Rico and United States Virgin Islands",,377,"Including Puerto Rico and United States Virgin Islands",,281,"Including Puerto Rico and United States Virgin Islands",,332,"Including Puerto Rico and United States Virgin Islands",,593,"Including Puerto Rico and United States Virgin Islands",,451,"Including Puerto Rico and United States Virgin Islands",,335,"Including Puerto Rico and United States Virgin Islands",,423,"Including Puerto Rico and United States Virgin Islands",,323,"Including Puerto Rico and United States Virgin Islands",,590,"Including Puerto Rico and United States Virgin Islands",,1489,"Including Puerto Rico and United States Virgin Islands",,911,"Including Puerto Rico and United States Virgin Islands",,572,"Including Puerto Rico and United States Virgin Islands",,456,"Including Puerto Rico and United States Virgin Islands",,426,"Including Puerto Rico and United States Virgin Islands",,404,"Including Puerto Rico and United States Virgin Islands",,446,"Including Puerto Rico and United States Virgin Islands",
"China, Macao SAR",,,,,,,,,,,,,0,"Including Puerto Rico and United States Virgin Islands",,,,,0,"Including Puerto Rico and United States Virgin Islands",,,,,,,,,,,0,"Including Puerto Rico and United States Virgin Islands",,,,,,,,,,,,,,,,,,,,0,"Including Puerto Rico and United States Virgin Islands",,,,,0,"Including Puerto Rico and United States Virgin Islands",,,,,0,"Including Puerto Rico and United States Virgin Islands",,,,
"Croatia",0,"Including Puerto Rico and United States Virgin Islands",,,,,,,,,,,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",
"Cyprus",,,,,,,0,"Including Puerto Rico and United States Virgin Islands",,,,,,,,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,,,,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",
"Czechia",0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,8,"Including Puerto Rico and United States Virgin Islands",,6,"Including Puerto Rico and United States Virgin Islands",,20,"Including Puerto Rico and United States Virgin Islands",,12,"Including Puerto Rico and United States Virgin Islands",,11,"Including Puerto Rico and United States Virgin Islands",,9,"Including Puerto Rico and United States Virgin Islands",,11,"Including Puerto Rico and United States Virgin Islands",,12,"Including Puerto Rico and United States Virgin Islands",,6,"Including Puerto Rico and United States Virgin Islands",,6,"Including Puerto Rico and United States Virgin Islands",,16,"Including Puerto Rico and United States Virgin Islands",,22,"Including Puerto Rico and United States Virgin Islands",,9,"Including Puerto Rico and United States Virgin Islands",,7,"Including Puerto Rico and United States Virgin Islands",,4,"Including Puerto Rico and United States Virgin Islands",,14,"Including Puerto Rico and United States Virgin Islands",,7,"Including Puerto Rico and United States Virgin Islands",,6,"Including Puerto Rico and United States Virgin Islands",,16,"Including Puerto Rico and United States Virgin Islands",
"Denmark",1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,3,"Including Puerto Rico and United States Virgin Islands",,4,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,4,"Including Puerto Rico and United States Virgin Islands",,11,"Including Puerto Rico and United States Virgin Islands",,16,"Including Puerto Rico and United States Virgin Islands",,10,"Including Puerto Rico and United States Virgin Islands",
